strategia,partita,odds,ev,prob_model,risultato,profit
DC_X2,Fiorentina vs Cagliari,2.287958115183246,23.320942408376986,53.900000000000006,WIN,1.2879581151832462
DC_X2,Como vs Torino,2.3076923076923075,22.538461538461508,53.099999999999994,LOSS,-1.0
DC_1X,Lecce vs Lazio,1.7142857142857144,21.200000000000017,70.7,WIN,0.7142857142857144
DC_X2,Sassuolo vs Cremonese,1.8789473684210527,20.252631578947366,64.0,LOSS,-1.0
DC_1X,Pisa vs Roma,2.135593220338983,20.661016949152568,56.50000000000001,LOSS,-1.0
DC_1X,Genoa vs Juventus,1.9367088607594938,23.368354430379746,63.7,LOSS,-1.0
DC_X2,Como vs Genoa,2.3076923076923075,20.692307692307676,52.300000000000004,WIN,1.3076923076923075
DC_1X,Pisa vs Fiorentina,1.6374045801526718,21.822900763358778,74.4,WIN,0.6374045801526718
DC_1X,Torino vs Napoli,2.026315789473684,24.415789473684193,61.4,WIN,1.026315789473684
DC_1X,Parma vs Como,1.8445945945945943,20.083108108108092,65.10000000000001,WIN,0.8445945945945943
DC_X2,Genoa vs Cremonese,1.9296875,23.307031249999998,63.9,WIN,0.9296875
DC_X2,Fiorentina vs Lecce,2.287958115183246,24.693717277486925,54.50000000000001,WIN,1.2879581151832462
DC_X2,Atalanta vs Sassuolo,2.739130434782609,23.534782608695657,45.099999999999994,WIN,1.7391304347826089
DC_1X,Cagliari vs Genoa,1.4693877551020407,23.42857142857142,84.00000000000001,WIN,0.46938775510204067
DC_1X,Fiorentina vs Juventus,1.8164383561643833,24.789315068493135,68.7,WIN,0.8164383561643833
DC_1X,Sassuolo vs Fiorentina,1.526916802610114,24.596411092985313,81.60000000000001,WIN,0.5269168026101141
DC_1X,Lazio vs Bologna,1.4140350877192984,20.192982456140363,85.0,WIN,0.4140350877192984
DC_1X,Parma vs Lazio,1.7217391304347824,24.82608695652173,72.5,LOSS,-1.0
DC_1X,Udinese vs Napoli,1.9367088607594938,21.044303797468356,62.5,WIN,0.9367088607594938
DC_X2,Lazio vs Cremonese,2.287958115183246,23.5497382198953,54.0,WIN,1.2879581151832462
DC_1X,Lecce vs Como,1.9472049689440996,22.868633540372674,63.1,LOSS,-1.0
UNDER_25,Pisa vs Juventus,1.91,24.150000000000006,65.0,WIN,0.9099999999999999
DC_X2,Fiorentina vs Cremonese,2.0238095238095237,23.249999999999993,60.9,LOSS,-1.0
DC_X2,Inter vs Bologna,2.908163265306123,20.10714285714288,41.300000000000004,LOSS,-1.0
DC_1X,Pisa vs Como,2.101123595505618,23.33595505617978,58.699999999999996,LOSS,-1.0
